  n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time, bubble_sort_cmp, bubble_sort_swaps, bubble_sort_time, heap_sort_cmp, heap_sort_swaps, heap_sort_time
 59,          1007,             953,            993,       275,           0,          0,            1711,                 0,                0,           514,               0,            996
 60,          1018,             963,              0,       283,           0,        999,            1770,                 0,                0,           521,               0,           1000
 61,          1067,            1011,              0,       288,           0,          0,            1830,                 0,             1003,           534,               0,              0
 62,          1098,            1041,            999,       291,           0,          0,            1891,                 0,             1000,           543,               0,              0
 63,          1105,            1047,           1000,       297,           0,          0,            1953,                 0,              999,           553,               0,              0
 64,          1129,            1070,           1003,       308,           0,          0,            2016,                 0,             1005,           559,               0,            991
 65,          1139,            1079,              0,       313,           0,       1000,            2080,                 0,                0,           578,               0,            998
 66,          1190,            1129,           1000,       319,           0,          0,            2145,                 0,             1004,           588,               0,              0
 67,          1252,            1190,            995,       326,           0,          0,            2211,                 0,              999,           594,               0,              0
 68,          1318,            1255,           1503,       334,           0,          0,            2278,                 0,             1004,           617,               0,              0
 69,          1382,            1318,            999,       342,           0,          0,            2346,                 0,              999,           628,               0,              0
 70,          1448,            1383,            999,       342,           0,        999,            2415,                 0,             1000,           638,               0,              0
 71,          1502,            1436,           1001,       348,           0,          0,            2485,                 0,             1003,           653,               0,            995
 72,          1503,            1436,            999,       362,           0,          0,            2556,                 0,              999,           669,               0,              0
 73,          1571,            1503,           1003,       370,           0,        996,            2628,                 0,              999,           675,               0,              0
 74,          1616,            1547,           1000,       374,           0,          0,            2701,                 0,              999,           682,               0,           1001
 75,          1682,            1612,           2012,       381,           0,          0,            2775,                 0,             1001,           702,               0,              0
 76,          1706,            1635,           1993,       384,           0,          0,            2850,                 0,             2004,           707,               0,              0
 77,          1710,            1638,            998,       386,           0,          0,            2926,                 0,             1994,           725,               0,              0
 78,          1746,            1673,           1001,       388,           0,          0,            3003,                 0,             1997,           732,               0,              0
 79,          1814,            1740,           1003,       403,           0,        997,            3081,                 0,             1002,           753,               0,              0
 80,          1819,            1744,            997,       401,           0,       1000,            3160,                 0,             1001,           760,               0,              0
 81,          1859,            1783,           1996,       407,           0,          0,            3240,                 0,             2009,           777,               0,              0
 82,          1882,            1805,           2000,       416,           0,          0,            3321,                 0,              993,           791,               0,            999
 83,          1933,            1855,            998,       426,           0,          0,            3403,                 0,             2017,           798,               0,              0
 84,          1938,            1859,           2000,       432,           0,          0,            3486,                 0,             1979,           809,               0,              0
 85,          1983,            1903,           2019,       441,           0,          0,            3570,                 0,             2984,           827,               0,              0
 86,          2010,            1929,           1990,       445,           0,          0,            3655,                 0,              996,           835,               0,            999
 87,          2055,            1973,            999,       451,           0,          0,            3741,                 0,             1999,           858,               0,              0
 88,          2094,            2011,           1999,       452,           0,          0,            3828,                 0,             1999,           862,               0,              0
 89,          2130,            2046,           1000,       459,           0,          0,            3916,                 0,             1000,           877,               0,           1003
 90,          2185,            2100,           1007,       457,           0,          0,            4005,                 0,              991,           892,               0,            998
 91,          2198,            2112,           1000,       470,           0,        999,            4095,                 0,              999,           906,               0,           1000
 92,          2212,            2125,            999,       490,           0,          0,            4186,                 0,             1999,           919,               0,           1000
 93,          2255,            2167,           1000,       496,           0,          0,            4278,                 0,             2508,           925,               0,              0
 94,          2295,            2206,           2014,       507,           0,        986,            4371,                 0,             2024,           942,               0,              0
 95,          2303,            2213,           2000,       507,           0,          0,            4465,                 0,             1999,           958,               0,              0
 96,          2379,            2288,           2000,       514,           0,          0,            4560,                 0,             1999,           969,               0,              0
 97,          2421,            2329,           1000,       520,           0,          0,            4656,                 0,             2000,           985,               0,           1000
 98,          2517,            2424,           2005,       533,           0,          0,            4753,                 0,             2013,           997,               0,              0
 99,          2602,            2508,           2000,       533,           0,          0,            4851,                 0,             2000,          1011,               0,            999
100,          2664,            2569,           2000,       549,           0,          0,            4950,                 0,             1999,          1019,               0,            999
