    n, merge_cmp, merge_swaps, merge_time, heap_sort_cmp, heap_sort_swaps, heap_sort_time
  133,       774,           0,       1004,          1449,               0,           1000
  134,       777,           0,          0,          1462,               0,            999
  135,       786,           0,          0,          1483,               0,            999
  136,       789,           0,          0,          1491,               0,            999
  137,       795,           0,          0,          1500,               0,           1000
  138,       803,           0,        999,          1522,               0,              0
  139,       812,           0,        999,          1542,               0,           1000
  140,       828,           0,          0,          1562,               0,            999
  141,       838,           0,          0,          1573,               0,           1280
  142,       840,           0,          0,          1587,               0,            721
  143,       848,           0,        983,          1607,               0,            997
  144,       858,           0,          0,          1619,               0,           1012
  145,       865,           0,          0,          1636,               0,           1000
  146,       875,           0,        999,          1657,               0,              0
  147,       881,           0,          0,          1652,               0,           1000
  148,       888,           0,          0,          1686,               0,            999
  149,       895,           0,          0,          1679,               0,              0
  150,       903,           0,        999,          1699,               0,            999
  151,       915,           0,          0,          1716,               0,           1000
  152,       925,           0,          0,          1728,               0,              0
  153,       931,           0,        999,          1749,               0,            999
  154,       931,           0,          0,          1755,               0,            982
  155,       935,           0,       1008,          1782,               0,            996
  156,       951,           0,          0,          1791,               0,            999
  157,       956,           0,       1013,          1809,               0,            534
  158,       953,           0,       1019,          1826,               0,           1013
  159,       963,           0,          0,          1833,               0,           1000
  160,       982,           0,        999,          1845,               0,            999
  161,       988,           0,          0,          1860,               0,            999
  162,       994,           0,          0,          1877,               0,            999
  163,      1001,           0,       1000,          1881,               0,            999
  164,       996,           0,          0,          1901,               0,            999
  165,      1002,           0,       1000,          1909,               0,            981
  166,      1008,           0,          0,          1918,               0,           1006
  167,      1018,           0,        998,          1944,               0,           1013
  168,      1047,           0,          0,          1963,               0,           1000
  169,      1055,           0,        999,          1969,               0,            999
  170,      1058,           0,          0,          1989,               0,            999
  171,      1060,           0,       1000,          2003,               0,            999
  172,      1061,           0,          0,          2023,               0,            999
  173,      1068,           0,          0,          2047,               0,           1000
  174,      1082,           0,        999,          2062,               0,            999
  175,      1089,           0,          0,          2074,               0,            999
  176,      1097,           0,       1000,          2091,               0,            981
  177,      1101,           0,        998,          2090,               0,           1006
  178,      1121,           0,          0,          2101,               0,           1013
  179,      1129,           0,       1000,          2114,               0,            999
  180,      1129,           0,       1000,          2133,               0,            999
  181,      1139,           0,          0,          2149,               0,            999
  182,      1156,           0,          0,          2166,               0,           1000
  183,      1150,           0,        999,          2172,               0,            999
  184,      1162,           0,        999,          2189,               0,            999
  185,      1171,           0,          0,          2207,               0,            999
  186,      1168,           0,        987,          2230,               0,           1002
  187,      1178,           0,        998,          2232,               0,           1011
  188,      1184,           0,          0,          2260,               0,           2000
  189,      1190,           0,          0,          2247,               0,            999
  190,      1203,           0,       1000,          2277,               0,            999
  191,      1208,           0,        999,          2302,               0,            999
  192,      1216,           0,          0,          2323,               0,           2000
  193,      1224,           0,          0,          2328,               0,            999
  194,      1245,           0,        999,          2339,               0,           1000
  195,      1257,           0,        986,          2356,               0,           1013
  196,      1256,           0,        989,          2359,               0,            997
  197,      1266,           0,          0,          2381,               0,           1000
  198,      1275,           0,          0,          2396,               0,           2000
  199,      1278,           0,          0,          2411,               0,            999
  200,      1293,           0,        999,          2424,               0,            999
  201,      1301,           0,       1000,          2449,               0,            999
  202,      1312,           0,        999,          2456,               0,           1000
  203,      1316,           0,        999,          2470,               0,           2502
  204,      1314,           0,        574,          2490,               0,           1493
  205,      1324,           0,        518,          2513,               0,           1577
  206,      1340,           0,        659,          2527,               0,            894
  207,      1336,           0,        529,          2551,               0,            958
  208,      1357,           0,          0,          2553,               0,           2065
  209,      1365,           0,          0,          2571,               0,           2009
  210,      1370,           0,          0,          2594,               0,           1987
  211,      1383,           0,          0,          2609,               0,           1013
  212,      1384,           0,          0,          2628,               0,           1989
  213,      1391,           0,          0,          2634,               0,            994
  214,      1409,           0,       1005,          2660,               0,           1013
  215,      1411,           0,       1004,          2682,               0,           1000
  216,      1414,           0,        999,          2690,               0,            999
  217,      1422,           0,        999,          2699,               0,           1000
  218,      1433,           0,        999,          2705,               0,           1983
  219,      1434,           0,          0,          2719,               0,           1000
  220,      1448,           0,        982,          2743,               0,           1007
  221,      1459,           0,        996,          2758,               0,           1013
  222,      1459,           0,       1001,          2779,               0,            998
  223,      1467,           0,        986,          2787,               0,           1013
  224,      1486,           0,        999,          2801,               0,           1000
  225,      1494,           0,        999,          2802,               0,            999
  226,      1501,           0,          0,          2830,               0,           2011
  227,      1506,           0,          0,          2840,               0,           1000
  228,      1511,           0,          0,          2857,               0,           1741
  229,      1519,           0,        999,          2881,               0,           1012
  230,      1532,           0,       1000,          2899,               0,           1000
  231,      1548,           0,        999,          2926,               0,            999
  232,      1535,           0,       1000,          2928,               0,           1999
  233,      1544,           0,          0,          2927,               0,           1999
  234,      1563,           0,          0,          2968,               0,            999
  235,      1565,           0,        999,          2967,               0,            981
  236,      1565,           0,       1008,          2994,               0,            997
  237,      1579,           0,       1013,          2998,               0,           2031
  238,      1581,           0,          0,          3011,               0,           2000
  239,      1591,           0,       1000,          3038,               0,            999
  240,      1611,           0,        999,          3037,               0,            999
  241,      1618,           0,          0,          3076,               0,           1999
  242,      1630,           0,       1000,          3079,               0,           1000
  243,      1634,           0,       1000,          3095,               0,            990
  244,      1640,           0,       1516,          3110,               0,           1030
  245,      1651,           0,       1000,          3123,               0,           1999
  246,      1661,           0,        999,          3138,               0,           1000
  247,      1672,           0,        999,          3151,               0,           1999
  248,      1660,           0,          0,          3166,               0,            999
  249,      1668,           0,        999,          3186,               0,            999
  250,      1686,           0,          0,          3205,               0,           1986
  251,      1687,           0,       1012,          3227,               0,           1000
  252,      1706,           0,        999,          3236,               0,           2000
  253,      1705,           0,        999,          3250,               0,           1000
  254,      1718,           0,        986,          3257,               0,           2013
  255,      1723,           0,        999,          3282,               0,           1000
  256,      1740,           0,       1000,          3300,               0,           1981
  257,      1750,           0,       1007,          3320,               0,            998
  258,      1749,           0,          0,          3334,               0,           2000
  259,      1761,           0,       1000,          3360,               0,           1989
  260,      1759,           0,        999,          3365,               0,            998
  261,      1769,           0,       1013,          3385,               0,           2000
  262,      1781,           0,        999,          3400,               0,           1000
  263,      1784,           0,       1076,          3405,               0,           1910
  264,      1803,           0,        998,          3427,               0,           2013
  265,      1815,           0,          0,          3445,               0,           2000
  266,      1822,           0,        989,          3468,               0,           1996
  267,      1832,           0,       1013,          3475,               0,           1000
  268,      1835,           0,        999,          3484,               0,           2000
  269,      1844,           0,        999,          3503,               0,           1989
  270,      1854,           0,        997,          3518,               0,           1013
  271,      1860,           0,       1000,          3546,               0,           2000
  272,      1861,           0,       1000,          3558,               0,           1998
  273,      1868,           0,       1000,          3579,               0,            999
  274,      1879,           0,          0,          3601,               0,           2000
  275,      1884,           0,        999,          3607,               0,           1986
  276,      1899,           0,       1002,          3617,               0,           2011
  277,      1905,           0,          0,          3645,               0,            999
  278,      1908,           0,        999,          3641,               0,           1999
  279,      1918,           0,       1000,          3672,               0,           2000
  280,      1936,           0,        999,          3686,               0,           2000
  281,      1940,           0,          0,          3704,               0,           2029
  282,      1948,           0,        974,          3716,               0,           1982
  283,      1964,           0,       1013,          3731,               0,           2000
  284,      1972,           0,        987,          3753,               0,           2012
  285,      1985,           0,       1000,          3771,               0,           1980
  286,      1991,           0,        997,          3778,               0,           2020
  287,      1999,           0,       1010,          3805,               0,           2005
  288,      1999,           0,        994,          3818,               0,           2013
  289,      2008,           0,       1000,          3844,               0,           1986
  290,      2017,           0,       1001,          3840,               0,           1997
  291,      2023,           0,       1013,          3878,               0,           1529
  292,      2047,           0,       1033,          3878,               0,           2000
  293,      2059,           0,       1000,          3915,               0,           1986
  294,      2052,           0,       1013,          3906,               0,           1999
  295,      2060,           0,       1000,          3935,               0,           1999
  296,      2071,           0,       1000,          3950,               0,           1999
  297,      2082,           0,       1534,          3972,               0,           2032
  298,      2088,           0,        982,          3982,               0,           1995
  299,      2097,           0,        997,          4001,               0,           3000
  300,      2106,           0,       1997,          4005,               0,           3026
  301,      2110,           0,       1000,          4033,               0,           2000
  302,      2119,           0,       1003,          4064,               0,           1996
  303,      2136,           0,        988,          4074,               0,           2012
  304,      2155,           0,        999,          4078,               0,           1998
  305,      2165,           0,          0,          4097,               0,           2000
  306,      2172,           0,        999,          4120,               0,           2000
  307,      2184,           0,       1000,          4117,               0,           3002
  308,      2174,           0,        984,          4152,               0,           2012
  309,      2180,           0,          0,          4170,               0,           2001
  310,      2182,           0,        998,          4192,               0,           1999
  311,      2193,           0,        999,          4207,               0,           2000
  312,      2218,           0,        999,          4223,               0,           1980
  313,      2221,           0,          0,          4213,               0,           2012
  314,      2223,           0,       1000,          4234,               0,           2000
  315,      2234,           0,        999,          4265,               0,           2000
  316,      2227,           0,       1000,          4279,               0,           3000
  317,      2239,           0,        999,          4303,               0,           1977
  318,      2250,           0,       1012,          4325,               0,           2010
  319,      2262,           0,        999,          4325,               0,           3000
  320,      2289,           0,       1000,          4348,               0,           1999
  321,      2298,           0,        999,          4350,               0,           2000
  322,      2290,           0,        999,          4377,               0,           1991
  323,      2302,           0,        994,          4386,               0,           2012
  324,      2307,           0,       1000,          4405,               0,           1999
  325,      2315,           0,          0,          4435,               0,           2000
  326,      2324,           0,        999,          4453,               0,           1999
  327,      2341,           0,        982,          4465,               0,           3006
  328,      2337,           0,        997,          4469,               0,           1999
  329,      2345,           0,        999,          4488,               0,           2013
  330,      2342,           0,        999,          4505,               0,           2000
  331,      2366,           0,        999,          4526,               0,           2000
  332,      2370,           0,       1006,          4539,               0,           2014
  333,      2372,           0,        998,          4570,               0,           2000
  334,      2377,           0,        986,          4588,               0,           2013
  335,      2385,           0,       1197,          4605,               0,           1802
  336,      2419,           0,        987,          4603,               0,           1999
  337,      2430,           0,       1246,          4613,               0,           2753
  338,      2437,           0,       1013,          4625,               0,           2000
  339,      2440,           0,        999,          4650,               0,           3000
  340,      2459,           0,        999,          4668,               0,           1986
  341,      2456,           0,       1013,          4686,               0,           3032
  342,      2465,           0,        982,          4696,               0,           2016
  343,      2479,           0,        999,          4718,               0,           2000
  344,      2468,           0,        999,          4737,               0,           3000
  345,      2480,           0,        987,          4751,               0,           3546
  346,      2486,           0,       1986,          4775,               0,           3025
  347,      2494,           0,       1000,          4784,               0,           1999
  348,      2510,           0,        999,          4799,               0,           2505
  349,      2506,           0,       1030,          4828,               0,           3000
  350,      2530,           0,        981,          4815,               0,           2005
  351,      2541,           0,       1013,          4848,               0,           2000
  352,      2530,           0,        999,          4855,               0,           2997
  353,      2544,           0,        991,          4861,               0,           3002
  354,      2559,           0,        997,          4897,               0,           2986
  355,      2572,           0,       2012,          4926,               0,           3007
  356,      2590,           0,       1992,          4930,               0,           2979
  357,      2598,           0,        996,          4944,               0,           1999
  358,      2607,           0,       1008,          4972,               0,           1996
  359,      2619,           0,       1000,          4987,               0,           3039
  360,      2632,           0,        991,          5010,               0,           2979
  361,      2633,           0,       1015,          5027,               0,           2974
  362,      2647,           0,        999,          5027,               0,           2999
  363,      2651,           0,       2002,          5042,               0,           2999
  364,      2659,           0,        997,          5065,               0,           3000
  365,      2668,           0,       1008,          5077,               0,           4017
  366,      2675,           0,        990,          5111,               0,           2984
  367,      2683,           0,        999,          5131,               0,           3003
  368,      2686,           0,        996,          5146,               0,           2997
  369,      2693,           0,       1011,          5150,               0,           2002
  370,      2713,           0,       1988,          5157,               0,           3184
  371,      2728,           0,       1003,          5192,               0,           3030
  372,      2719,           0,       1008,          5212,               0,           2617
  373,      2724,           0,       1101,          5206,               0,           2007
  374,      2737,           0,       1013,          5228,               0,           2017
  375,      2748,           0,       2000,          5251,               0,           1999
  376,      2753,           0,       1999,          5262,               0,           3984
  377,      2767,           0,        999,          5287,               0,           3011
  378,      2772,           0,        999,          5303,               0,           3020
  379,      2772,           0,        998,          5310,               0,           3015
  380,      2792,           0,        990,          5322,               0,           2993
  381,      2796,           0,       2017,          5345,               0,           1997
  382,      2805,           0,          0,          5344,               0,           3552
  383,      2815,           0,       1013,          5387,               0,           3000
  384,      2825,           0,       1999,          5381,               0,           2993
  385,      2834,           0,       2006,          5433,               0,           2000
  386,      2842,           0,       1999,          5440,               0,           2000
  387,      2856,           0,        999,          5432,               0,           2999
  388,      2873,           0,       1000,          5458,               0,           2991
  389,      2875,           0,        995,          5494,               0,           3012
  390,      2896,           0,       1000,          5509,               0,           2000
  391,      2919,           0,       2000,          5517,               0,           1999
  392,      2894,           0,        999,          5556,               0,           2990
  393,      2904,           0,        997,          5567,               0,           2554
  394,      2923,           0,       1013,          5562,               0,           3979
  395,      2931,           0,       1005,          5584,               0,           2990
  396,      2936,           0,       1000,          5599,               0,           1998
  397,      2949,           0,       2000,          5632,               0,           2999
  398,      2951,           0,       1000,          5622,               0,           2998
  399,      2963,           0,       1001,          5637,               0,           2999
  400,      2981,           0,       1001,          5684,               0,           1998
  401,      2991,           0,       1001,          5699,               0,           3004
  402,      2991,           0,        998,          5699,               0,           2996
  403,      3006,           0,       1999,          5722,               0,           3001
  404,      3019,           0,       1002,          5733,               0,           2995
  405,      3028,           0,       1001,          5760,               0,           2997
  406,      3024,           0,       1001,          5787,               0,           2998
  407,      3029,           0,       2002,          5795,               0,           2999
  408,      3036,           0,       1000,          5808,               0,           3002
  409,      3055,           0,       1000,          5825,               0,           2995
  410,      3053,           0,       1000,          5839,               0,           2997
  411,      3061,           0,       1012,          5847,               0,           2989
  412,      3086,           0,       1998,          5893,               0,           3001
  413,      3088,           0,        999,          5905,               0,           3000
  414,      3077,           0,       1999,          5924,               0,           3008
  415,      3086,           0,       1000,          5922,               0,           2993
  416,      3124,           0,       1998,          5935,               0,           2999
  417,      3133,           0,       1000,          5968,               0,           2999
  418,      3130,           0,       2000,          5999,               0,           2999
  419,      3139,           0,        999,          6037,               0,           3000
  420,      3167,           0,        999,          6035,               0,           3000
  421,      3169,           0,        999,          6060,               0,           2000
  422,      3170,           0,       1010,          6075,               0,           2990
  423,      3194,           0,       2022,          6084,               0,           3000
  424,      3185,           0,        999,          6121,               0,           3000
  425,      3189,           0,       2000,          6137,               0,           3000
  426,      3197,           0,        989,          6136,               0,           2992
  427,      3205,           0,       1000,          6162,               0,           2998
  428,      3229,           0,       1000,          6174,               0,           2999
  429,      3239,           0,       1999,          6182,               0,           4026
  430,      3249,           0,       1000,          6218,               0,           3004
  431,      3256,           0,       1999,          6223,               0,           3000
  432,      3255,           0,        999,          6241,               0,           2998
  433,      3262,           0,       1983,          6280,               0,           3013
  434,      3277,           0,       2000,          6293,               0,           2999
  435,      3281,           0,       1000,          6304,               0,           3000
  436,      3283,           0,       1984,          6342,               0,           3002
  437,      3300,           0,       1000,          6349,               0,           3000
  438,      3311,           0,       2000,          6364,               0,           3000
  439,      3317,           0,       2000,          6394,               0,           2987
  440,      3318,           0,        999,          6401,               0,           3000
  441,      3331,           0,       1986,          6419,               0,           3013
  442,      3344,           0,       2000,          6422,               0,           3988
  443,      3356,           0,        998,          6450,               0,           2993
  444,      3359,           0,        999,          6474,               0,           3013
  445,      3372,           0,       2000,          6457,               0,           2987
  446,      3385,           0,       1001,          6505,               0,           3011
  447,      3386,           0,       2000,          6506,               0,           2999
  448,      3410,           0,       2000,          6525,               0,           3000
  449,      3418,           0,       2001,          6552,               0,           2985
  450,      3423,           0,       2012,          6571,               0,           3000
  451,      3427,           0,       2000,          6571,               0,           2999
  452,      3437,           0,       2000,          6594,               0,           2979
  453,      3446,           0,       2007,          6621,               0,           3013
  454,      3461,           0,       1999,          6628,               0,           3000
  455,      3465,           0,       2000,          6643,               0,           2999
  456,      3472,           0,       1982,          6669,               0,           3017
  457,      3483,           0,       2000,          6690,               0,           3031
  458,      3480,           0,        999,          6699,               0,           2986
  459,      3500,           0,       1000,          6718,               0,           3987
  460,      3520,           0,       1529,          6751,               0,           3033
  461,      3532,           0,        999,          6757,               0,           3000
  462,      3532,           0,        999,          6779,               0,           3986
  463,      3539,           0,       1000,          6796,               0,           4012
  464,      3540,           0,        999,          6817,               0,           3976
  465,      3553,           0,       1023,          6837,               0,           2981
  466,      3552,           0,       2005,          6838,               0,           3013
  467,      3563,           0,       1999,          6857,               0,           3000
  468,      3588,           0,       1999,          6877,               0,           4000
  469,      3604,           0,       1000,          6897,               0,           3999
  470,      3598,           0,       1000,          6913,               0,           3986
  471,      3603,           0,       2012,          6937,               0,           3000
  472,      3603,           0,       2272,          6933,               0,           2713
  473,      3611,           0,       1000,          6976,               0,           3986
  474,      3621,           0,       1013,          6993,               0,           3000
  475,      3641,           0,       1999,          6990,               0,           2986
  476,      3639,           0,       2013,          7007,               0,           3988
  477,      3654,           0,        988,          7044,               0,           3001
  478,      3663,           0,       1999,          7037,               0,           2989
  479,      3664,           0,       2006,          7056,               0,           4217
  480,      3697,           0,       2024,          7088,               0,           2641
  481,      3704,           0,       1075,          7087,               0,           3529
  482,      3697,           0,       2005,          7115,               0,           3968
  483,      3712,           0,       1999,          7132,               0,           3999
  484,      3724,           0,       1000,          7144,               0,           3999
  485,      3734,           0,       1000,          7170,               0,           2999
  486,      3730,           0,       2000,          7192,               0,           4000
  487,      3748,           0,       1000,          7207,               0,           3999
  488,      3755,           0,       1999,          7231,               0,           3004
  489,      3759,           0,       1000,          7242,               0,           3999
  490,      3772,           0,       1000,          7245,               0,           2999
  491,      3783,           0,       2515,          7275,               0,           3004
  492,      3799,           0,       2000,          7294,               0,           3999
  493,      3796,           0,       1001,          7292,               0,           3000
