   n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time, bubble_sort_cmp, bubble_sort_swaps, bubble_sort_time, heap_sort_cmp, heap_sort_swaps, heap_sort_time
  59,           947,             889,            999,       280,           0,          0,            1711,                 0,             1002,           518,               0,              0
  60,           960,             901,              0,       287,           0,        998,            1770,                 0,                0,           526,               0,            999
  61,          1020,             961,              0,       289,           0,          0,            1830,                 0,              999,           537,               0,              0
  62,          1042,             982,           1503,       297,           0,          0,            1891,                 0,             1004,           542,               0,              0
  63,          1058,             997,           1001,       303,           0,          0,            1953,                 0,             1001,           542,               0,              0
  64,          1060,             998,            997,       309,           0,          0,            2016,                 0,              657,           558,               0,              0
  65,          1094,            1031,           1003,       316,           0,          0,            2080,                 0,             1004,           574,               0,            502
  66,          1104,            1040,            502,       318,           0,          0,            2145,                 0,             1003,           590,               0,              0
  67,          1130,            1065,           1048,       325,           0,          0,            2211,                 0,             1003,           606,               0,              0
  68,          1183,            1117,           1004,       335,           0,          0,            2278,                 0,             1005,           617,               0,              0
  69,          1184,            1117,           1003,       339,           0,        502,            2346,                 0,             1003,           629,               0,              0
  70,          1225,            1157,            999,       343,           0,          0,            2415,                 0,             1000,           637,               0,              0
  71,          1255,            1186,           1000,       350,           0,          0,            2485,                 0,             1000,           652,               0,            999
  72,          1305,            1235,              0,       361,           0,       1000,            2556,                 0,              999,           665,               0,              0
  73,          1375,            1304,           1000,       368,           0,          0,            2628,                 0,              999,           682,               0,           1001
  74,          1406,            1334,            998,       370,           0,          0,            2701,                 0,              999,           693,               0,              0
  75,          1471,            1398,            999,       373,           0,          0,            2775,                 0,             1999,           706,               0,              0
  76,          1539,            1465,           1000,       382,           0,          0,            2850,                 0,             1000,           716,               0,            999
  77,          1570,            1495,           1000,       390,           0,          0,            2926,                 0,             1000,           728,               0,            999
  78,          1608,            1532,            999,       397,           0,          0,            3003,                 0,              999,           749,               0,              0
  79,          1650,            1573,           1999,       402,           0,          0,            3081,                 0,             1001,           755,               0,              0
  80,          1707,            1629,           1000,       413,           0,          0,            3160,                 0,              999,           758,               0,            999
  81,          1762,            1683,           1000,       418,           0,          0,            3240,                 0,              999,           778,               0,            999
  82,          1808,            1728,            999,       423,           0,          0,            3321,                 0,             1002,           786,               0,            998
  83,          1852,            1771,           1000,       431,           0,          0,            3403,                 0,             1998,           810,               0,              0
  84,          1929,            1847,           1001,       436,           0,        998,            3486,                 0,             1003,           826,               0,            995
  85,          1976,            1893,           1000,       439,           0,          0,            3570,                 0,             1999,           835,               0,              0
  86,          1985,            1901,           1000,       452,           0,       1001,            3655,                 0,              998,           846,               0,            999
  87,          2065,            1980,           1000,       464,           0,          0,            3741,                 0,             1999,           862,               0,              0
  88,          2115,            2029,           1999,       473,           0,          0,            3828,                 0,             1000,           864,               0,           1000
  89,          2169,            2082,           1002,       477,           0,        997,            3916,                 0,              999,           870,               0,           1000
  90,          2223,            2135,           1000,       484,           0,          0,            4005,                 0,             1998,           899,               0,           1000
  91,          2267,            2178,            999,       492,           0,          0,            4095,                 0,             1999,           901,               0,              0
  92,          2326,            2236,           2000,       487,           0,          0,            4186,                 0,             1999,           918,               0,              0
  93,          2333,            2242,           1003,       492,           0,          0,            4278,                 0,             1995,           928,               0,           1000
  94,          2426,            2335,            999,       497,           0,        999,            4371,                 0,             1000,           941,               0,           1000
  95,          2504,            2412,           1999,       504,           0,          0,            4465,                 0,             2000,           955,               0,              0
  96,          2518,            2425,           2000,       509,           0,          0,            4560,                 0,             1999,           967,               0,           1000
  97,          2576,            2482,            999,       516,           0,          0,            4656,                 0,             1999,           990,               0,           1000
  98,          2578,            2483,           1999,       524,           0,          0,            4753,                 0,             2000,          1003,               0,              0
  99,          2633,            2537,           1999,       535,           0,          0,            4851,                 0,             2000,          1022,               0,            999
 100,          2660,            2563,           1999,       544,           0,          0,            4950,                 0,             1999,          1035,               0,           1000
 101,          2740,            2642,           1000,       550,           0,        999,            5050,                 0,             1999,          1049,               0,              0
 102,          2808,            2709,           1999,       559,           0,          0,            5151,                 0,             3000,          1057,               0,              0
 103,          2812,            2712,           2000,       564,           0,          0,            5253,                 0,             3004,          1075,               0,              0
 104,          2915,            2815,           1996,       574,           0,        999,            5356,                 0,             1999,          1084,               0,              0
 105,          2928,            2827,           1999,       582,           0,          0,            5460,                 0,             1999,          1092,               0,              0
 106,          3010,            2908,           1999,       581,           0,       1000,            5565,                 0,             2000,          1107,               0,           1003
 107,          3015,            2912,            996,       585,           0,          0,            5671,                 0,             1999,          1121,               0,            999
 108,          3020,            2916,           1999,       597,           0,          0,            5778,                 0,             2000,          1133,               0,           1000
 109,          3115,            3010,           1999,       602,           0,          0,            5886,                 0,             3000,          1144,               0,              0
 110,          3127,            3021,           2000,       606,           0,        999,            5995,                 0,             2002,          1164,               0,           1000
 111,          3217,            3110,           1999,       608,           0,          0,            6105,                 0,             3000,          1171,               0,              0
 112,          3246,            3138,           2000,       629,           0,        999,            6216,                 0,             2003,          1192,               0,           1001
 113,          3348,            3239,           1992,       637,           0,       1002,            6328,                 0,             2000,          1192,               0,            999
 114,          3409,            3299,           2000,       640,           0,          0,            6441,                 0,             2999,          1215,               0,           1000
 115,          3513,            3402,           1999,       656,           0,          0,            6555,                 0,             3998,          1227,               0,            999
 116,          3566,            3454,           2002,       657,           0,          0,            6670,                 0,             3000,          1254,               0,            999
 117,          3671,            3558,           1999,       664,           0,        999,            6786,                 0,             2000,          1256,               0,           2002
 118,          3686,            3572,           2008,       671,           0,          0,            6903,                 0,             3012,          1277,               0,           1000
 119,          3738,            3623,           1999,       684,           0,        980,            7021,                 0,             2019,          1281,               0,            986
 120,          3833,            3717,           3013,       686,           0,          0,            7140,                 0,             3163,          1311,               0,            563
 121,          3883,            3766,           3129,       693,           0,        535,            7260,                 0,             2627,          1316,               0,           1034
 122,          3908,            3790,           2998,       697,           0,        986,            7381,                 0,             2999,          1329,               0,           1014
 123,          3915,            3796,           2998,       708,           0,          0,            7503,                 0,             3978,          1342,               0,              0
 124,          4000,            3880,           3021,       713,           0,          0,            7626,                 0,             3983,          1346,               0,           1008
 125,          4078,            3957,           2995,       720,           0,          0,            7750,                 0,             3012,          1362,               0,              0
 126,          4130,            4008,           3000,       729,           0,          0,            7875,                 0,             4001,          1367,               0,              0
 127,          4193,            4070,           3985,       734,           0,          0,            8001,                 0,             3014,          1392,               0,           1693
 128,          4307,            4183,           2526,       742,           0,          0,            8128,                 0,             4010,          1404,               0,              0
 129,          4385,            4260,           3987,       750,           0,          0,            8256,                 0,             3012,          1401,               0,           1000
 130,          4498,            4372,           3973,       752,           0,          0,            8385,                 0,             2999,          1424,               0,           1000
 131,          4617,            4490,           2999,       759,           0,       1006,            8515,                 0,             2992,          1428,               0,           1000
 132,          4729,            4601,           3004,       764,           0,        996,            8646,                 0,             2999,          1440,               0,            999
 133,          4836,            4707,           2999,       774,           0,          0,            8778,                 0,             3999,          1463,               0,           1000
 134,          4861,            4731,           2999,       778,           0,       1001,            8911,                 0,             2998,          1465,               0,              0
 135,          4942,            4811,           2999,       790,           0,          0,            9045,                 0,             3999,          1494,               0,           1004
 136,          5034,            4902,           3000,       797,           0,       1010,            9180,                 0,             3984,          1503,               0,              0
 137,          5153,            5020,           4000,       807,           0,          0,            9316,                 0,             3999,          1514,               0,           1000
 138,          5229,            5095,           2999,       814,           0,       1000,            9453,                 0,             3999,          1517,               0,              0
 139,          5242,            5107,           2999,       818,           0,          0,            9591,                 0,             3999,          1539,               0,           1000
 140,          5270,            5134,           3999,       824,           0,          0,            9730,                 0,             4000,          1555,               0,           1000
 141,          5352,            5215,           3000,       833,           0,          0,            9870,                 0,             3993,          1563,               0,           1000
 142,          5368,            5230,           2999,       838,           0,       1000,           10011,                 0,             3999,          1586,               0,           1000
 143,          5493,            5354,           3000,       849,           0,          0,           10153,                 0,             3999,          1597,               0,           1000
 144,          5603,            5463,           4003,       861,           0,          0,           10296,                 0,             3999,          1607,               0,           1005
 145,          5657,            5516,           3994,       866,           0,          0,           10440,                 0,             4506,          1639,               0,           1000
 146,          5758,            5616,           3999,       876,           0,          0,           10585,                 0,             4999,          1636,               0,           1001
 147,          5882,            5739,           3998,       882,           0,          0,           10731,                 0,             5000,          1672,               0,              0
 148,          5954,            5810,           3999,       885,           0,          0,           10878,                 0,             4994,          1676,               0,              0
 149,          6050,            5905,           4000,       893,           0,       1000,           11026,                 0,             3999,          1685,               0,           1000
 150,          6188,            6042,           3999,       894,           0,       1000,           11175,                 0,             5000,          1702,               0,              0
 151,          6262,            6115,           3999,       901,           0,          0,           11325,                 0,             5000,          1732,               0,           1000
 152,          6283,            6135,           3999,       911,           0,          0,           11476,                 0,             3999,          1741,               0,           1000
 153,          6405,            6256,           5002,       921,           0,          0,           11628,                 0,             4996,          1753,               0,           1000
 154,          6414,            6264,           3999,       929,           0,          0,           11781,                 0,             5000,          1768,               0,           1003
 155,          6494,            6343,           4996,       933,           0,          0,           11935,                 0,             4999,          1793,               0,           1000
 156,          6619,            6467,           3998,       951,           0,       1000,           12090,                 0,             4999,          1795,               0,           1003
 157,          6657,            6504,           3996,       960,           0,        999,           12246,                 0,             4999,          1812,               0,           1007
 158,          6661,            6507,           4992,       961,           0,          0,           12403,                 0,             5999,          1821,               0,           1001
 159,          6779,            6624,           3999,       971,           0,       1004,           12561,                 0,             4994,          1834,               0,           1001
 160,          6813,            6657,           3998,       983,           0,       1000,           12720,                 0,             4999,          1854,               0,           1007
 161,          6903,            6746,           4992,       990,           0,          0,           12880,                 0,             4999,          1852,               0,           1000
 162,          7023,            6865,           5002,       999,           0,          0,           13041,                 0,             4998,          1866,               0,           1000
 163,          7090,            6931,           4999,      1006,           0,          0,           13203,                 0,             4999,          1901,               0,           1000
 164,          7132,            6972,           4999,      1009,           0,          0,           13366,                 0,             6000,          1905,               0,           1000
 165,          7146,            6985,           3999,      1017,           0,       1000,           13530,                 0,             5000,          1920,               0,            999
 166,          7155,            6993,           4999,      1019,           0,          0,           13695,                 0,             5033,          1940,               0,            993
 167,          7247,            7084,           5036,      1029,           0,          0,           13861,                 0,             5987,          1945,               0,            987
 168,          7351,            7187,           3994,      1041,           0,          0,           14028,                 0,             6948,          1959,               0,           1003
 169,          7474,            7309,           5058,      1044,           0,        510,           14196,                 0,             6544,          1968,               0,            999
 170,          7598,            7432,           5001,      1052,           0,        998,           14365,                 0,             6030,          1990,               0,            999
 171,          7712,            7545,           4997,      1056,           0,          0,           14535,                 0,             5978,          2005,               0,           1011
 172,          7883,            7716,           5010,      1066,           0,          0,           14706,                 0,             5982,          2017,               0,           1442
 173,          7991,            7823,           7611,      1077,           0,       1000,           14878,                 0,             6995,          2027,               0,           1000
 174,          8012,            7843,           5566,      1089,           0,          0,           15051,                 0,             5987,          2040,               0,           1013
 175,          8098,            7928,           4986,      1097,           0,       1012,           15225,                 0,             6000,          2065,               0,           1000
 176,          8255,            8084,           4999,      1117,           0,       1000,           15400,                 0,             5999,          2071,               0,           1000
 177,          8346,            8174,           5000,      1124,           0,          0,           15576,                 0,             6986,          2095,               0,            991
 178,          8435,            8262,           6008,      1115,           0,          0,           15753,                 0,             6013,          2107,               0,           1985
 179,          8608,            8434,           5001,      1130,           0,       1012,           15931,                 0,             6031,          2115,               0,            999
 180,          8681,            8506,           5999,      1136,           0,          0,           16110,                 0,             6567,          2130,               0,            999
 181,          8809,            8633,           4979,      1137,           0,       1022,           16290,                 0,             6997,          2144,               0,            999
 182,          8954,            8777,           5000,      1159,           0,       1000,           16471,                 0,             6999,          2152,               0,           1000
 183,          9100,            8922,           6000,      1162,           0,          0,           16653,                 0,             6998,          2168,               0,           2005
 184,          9137,            8958,           5013,      1148,           0,       1000,           16836,                 0,             6518,          2195,               0,           1017
 185,          9168,            8988,           5012,      1158,           0,       1173,           17020,                 0,             6827,          2198,               0,           1087
 186,          9297,            9116,           5912,      1174,           0,       1000,           17205,                 0,             6999,          2210,               0,           1000
 187,          9474,            9292,           5999,      1177,           0,        999,           17391,                 0,             6999,          2241,               0,            999
 188,          9607,            9424,           6019,      1177,           0,          0,           17578,                 0,             6999,          2257,               0,            999
 189,          9735,            9551,           6018,      1191,           0,          0,           17766,                 0,             7000,          2285,               0,            999
 190,          9785,            9600,           6521,      1191,           0,       1012,           17955,                 0,             7000,          2286,               0,           1000
 191,          9815,            9629,           6990,      1202,           0,          0,           18145,                 0,             7022,          2307,               0,           1000
 192,          9870,            9683,           6984,      1212,           0,       1004,           18336,                 0,             8010,          2327,               0,            999
 193,          9912,            9724,           6774,      1219,           0,        968,           18528,                 0,             7165,          2345,               0,            985
 194,         10071,            9882,           6988,      1222,           0,       1008,           18721,                 0,             7997,          2360,               0,           3000
 195,         10107,            9917,           8003,      1231,           0,       1012,           18915,                 0,            10004,          2361,               0,           1000
 196,         10211,           10020,           6976,      1253,           0,        999,           19110,                 0,             7027,          2381,               0,            999
 197,         10272,           10080,           6000,      1260,           0,          0,           19306,                 0,             7999,          2391,               0,            999
 198,         10343,           10150,           6999,      1259,           0,        982,           19503,                 0,             8017,          2404,               0,           1000
 199,         10391,           10197,           6982,      1260,           0,          0,           19701,                 0,             8004,          2418,               0,           1000
 200,         10395,           10200,           6981,      1282,           0,       1013,           19900,                 0,             8004,          2434,               0,           1000
 201,         10537,           10341,           6999,      1292,           0,       1000,           20100,                 0,             8975,          2453,               0,            998
 202,         10646,           10449,           7026,      1299,           0,        999,           20301,                 0,             8167,          2477,               0,           1010
 203,         10678,           10480,           7016,      1300,           0,          0,           20503,                 0,             8988,          2488,               0,           1007
 204,         10790,           10591,           7004,      1314,           0,       1000,           20706,                 0,             7982,          2498,               0,           1012
 205,         10952,           10752,           8005,      1312,           0,          0,           20910,                 0,             8994,          2512,               0,           1004
 206,         10983,           10782,           6999,      1328,           0,        999,           21115,                 0,             8999,          2518,               0,           1000
 207,         11012,           10810,           6999,      1332,           0,       1000,           21321,                 0,             8999,          2529,               0,           1000
 208,         11160,           10957,           6982,      1344,           0,       1012,           21528,                 0,             9004,          2558,               0,           1000
 209,         11343,           11139,           6999,      1350,           0,        999,           21736,                 0,             9000,          2579,               0,            999
 210,         11491,           11286,           7994,      1364,           0,          0,           21945,                 0,             8016,          2594,               0,            999
 211,         11622,           11416,           6987,      1372,           0,       1005,           22155,                 0,             9011,          2614,               0,           2000
 212,         11806,           11599,           7019,      1372,           0,        997,           22366,                 0,             9000,          2627,               0,            999
 213,         11968,           11760,           8539,      1383,           0,          0,           22578,                 0,            10000,          2645,               0,            998
 214,         12040,           11831,           8049,      1380,           0,        999,           22791,                 0,             8987,          2657,               0,           1999
 215,         12067,           11857,          12573,      1399,           0,        997,           23005,                 0,             9985,          2667,               0,           1000
 216,         12070,           11859,           7998,      1408,           0,       1000,           23220,                 0,             8999,          2690,               0,            999
 217,         12083,           11871,           8000,      1418,           0,       1000,           23436,                 0,            10297,          2712,               0,           2015
 218,         12118,           11905,           7098,      1416,           0,       1006,           23653,                 0,            10003,          2715,               0,            999
 219,         12152,           11938,           7999,      1429,           0,        998,           23871,                 0,             9001,          2723,               0,           1000
 220,         12197,           11982,           8011,      1428,           0,        998,           24090,                 0,             9017,          2750,               0,            999
 221,         12396,           12180,           7999,      1428,           0,          0,           24310,                 0,             9986,          2759,               0,           2001
 222,         12468,           12251,          10011,      1443,           0,          0,           24531,                 0,             9999,          2774,               0,           2000
 223,         12591,           12373,           8000,      1456,           0,       1003,           24753,                 0,             9996,          2797,               0,           1000
 224,         12633,           12414,           9995,      1476,           0,       1004,           24976,                 0,            11995,          2815,               0,           1987
 225,         12673,           12453,           8012,      1482,           0,        986,           25200,                 0,            10013,          2822,               0,           2001
 226,         12779,           12558,           8016,      1492,           0,       1000,           25425,                 0,             9519,          2856,               0,            999
 227,         12926,           12704,           7991,      1497,           0,        999,           25651,                 0,            10009,          2863,               0,           1000
 228,         12972,           12749,           8986,      1504,           0,          0,           25878,                 0,            11002,          2871,               0,            997
 229,         13096,           12872,           9013,      1502,           0,          0,           26106,                 0,            10999,          2887,               0,           1100
 230,         13127,           12902,           8931,      1529,           0,          0,           26335,                 0,            11539,          2918,               0,           1001
 231,         13205,           12979,           8985,      1537,           0,        998,           26565,                 0,            10013,          2926,               0,            999
 232,         13341,           13114,           9999,      1538,           0,          0,           26796,                 0,            10999,          2940,               0,           1975
 233,         13456,           13228,           8999,      1546,           0,          0,           27028,                 0,            10056,          2949,               0,           2000
